date,store_id,product_category,units_sold,revenue,marketing_spend,competitor_price,promotion_active,season,day_of_week
2024-01-01,1,Electronics,45,2250.00,150.00,52.00,1,Winter,Monday
2024-01-02,1,Electronics,52,2600.00,150.00,52.00,1,Winter,Tuesday
2024-01-03,1,Clothing,38,1520.00,100.00,42.00,0,Winter,Wednesday
2024-01-04,1,Home,28,1400.00,80.00,55.00,0,Winter,Thursday
2024-01-05,1,Electronics,61,3050.00,200.00,48.00,1,Winter,Friday
2024-01-06,2,Electronics,42,2100.00,150.00,51.00,1,Winter,Saturday
2024-01-07,2,Clothing,55,2200.00,120.00,40.00,1,Winter,Sunday
2024-01-08,2,Home,32,1600.00,90.00,53.00,0,Winter,Monday
2024-01-09,2,Electronics,48,2400.00,160.00,50.00,1,Winter,Tuesday
2024-01-10,2,Clothing,41,1640.00,110.00,41.00,0,Winter,Wednesday
2024-01-11,3,Electronics,58,2900.00,180.00,49.00,1,Winter,Thursday
2024-01-12,3,Home,35,1750.00,95.00,54.00,0,Winter,Friday
2024-01-13,3,Clothing,49,1960.00,115.00,39.00,1,Winter,Saturday
2024-01-14,3,Electronics,53,2650.00,170.00,51.00,1,Winter,Sunday
2024-01-15,3,Home,29,1450.00,85.00,56.00,0,Winter,Monday
2024-01-16,1,Clothing,44,1760.00,105.00,40.00,0,Winter,Tuesday
2024-01-17,1,Electronics,56,2800.00,175.00,49.00,1,Winter,Wednesday
2024-01-18,1,Home,31,1550.00,88.00,54.00,0,Winter,Thursday
2024-01-19,2,Electronics,64,3200.00,210.00,47.00,1,Winter,Friday
2024-01-20,2,Clothing,51,2040.00,118.00,41.00,1,Winter,Saturday
